ResponseId,Age,YearsCode,CompTotal,ConvertedCompYearly
1,18-24 years old,NA,NA,NA
2,25-34 years old,18,285000,285000
3,45-54 years old,27,250000,250000
4,25-34 years old,12,156000,156000
5,25-34 years old,6,1320000,23456
6,35-44 years old,21,78000,96828
7,35-44 years old,4,135000,135000
8,25-34 years old,5,80000,80000
9,45-54 years old,20,60000,64254
10,25-34 years old,6,NA,NA
11,25-34 years old,14,NA,NA
12,25-34 years old,10,118000,78003
13,25-34 years old,10,75000,75000
14,35-44 years old,5,150000,150000
15,25-34 years old,15,175000,187407
16,35-44 years old,15,100000,107090
17,35-44 years old,4,490000,45149
18,25-34 years old,11,55000,58899
19,Under 18 years old,3,5555,14
20,35-44 years old,24,70044,75010
21,25-34 years old,6,49000,60828
22,25-34 years old,20,80000,85672
23,25-34 years old,8,120000,120000
24,25-34 years old,13,65000,69608
25,35-44 years old,Less than 1 year,35000,37481
26,35-44 years old,12,2000000,103743
27,25-34 years old,16,NA,NA
28,35-44 years old,20,NA,NA
29,35-44 years old,3,31000,38483
30,35-44 years old,15,70000,74963
31,35-44 years old,24,360000,237974
32,25-34 years old,5,130000,26374
33,25-34 years old,10,50000,53545
34,25-34 years old,10,70000,74963
35,35-44 years old,16,40000,42836
36,35-44 years old,5,NA,NA
37,55-64 years old,33,130000,130000
38,25-34 years old,13,50408,53982
39,25-34 years old,6,110000,136552
40,25-34 years old,10,1560000,14503
41,18-24 years old,11,150000,111527
42,25-34 years old,10,NA,NA
43,45-54 years old,21,165000,165000
44,18-24 years old,3,63000,63000
45,35-44 years old,22,98000,98000
46,25-34 years old,13,136500,101490
47,25-34 years old,3,NA,NA
48,55-64 years old,30,NA,NA
49,55-64 years old,32,136000,149894
50,25-34 years old,15,NA,NA
51,35-44 years old,6,NA,NA
52,25-34 years old,4,500000,1721
53,Under 18 years old,7,NA,NA
54,Under 18 years old,7,NA,NA
55,25-34 years old,5,NA,NA
56,45-54 years old,35,65000,65000
57,25-34 years old,20,42000,44978
58,Under 18 years old,4,NA,NA
59,18-24 years old,4,NA,NA
60,25-34 years old,8,105000,105000
61,25-34 years old,10,150000,160634
62,35-44 years old,20,77000,82459
63,Under 18 years old,4,NA,NA
64,35-44 years old,20,NA,NA
65,18-24 years old,10,36000,38552
66,45-54 years old,28,NA,NA
67,25-34 years old,10,3400000,41197
68,35-44 years old,10,NA,NA
69,18-24 years old,8,NA,NA
70,25-34 years old,8,NA,NA
71,45-54 years old,NA,NA,NA
72,25-34 years old,12,120000,128507
73,55-64 years old,40,NA,NA
74,18-24 years old,3,NA,NA
75,35-44 years old,17,5500,NA
76,45-54 years old,20,NA,NA
77,35-44 years old,15,65000,69608
78,35-44 years old,10,NA,NA
79,18-24 years old,5,NA,NA
80,Under 18 years old,Less than 1 year,NA,NA
81,25-34 years old,5,7000,7000
82,18-24 years old,10,NA,NA
83,25-34 years old,10,NA,NA
84,25-34 years old,11,NA,NA
85,35-44 years old,7,40000,42836
86,25-34 years old,7,NA,NA
87,25-34 years old,12,NA,NA
88,18-24 years old,5,NA,NA
89,35-44 years old,20,120000,24345
90,25-34 years old,NA,NA,NA
91,18-24 years old,6,NA,NA
92,35-44 years old,18,50000,53545
93,25-34 years old,15,110000,72714
94,18-24 years old,8,NA,NA
95,Under 18 years old,8,NA,NA
96,18-24 years old,6,30000,371
97,25-34 years old,12,80800,86528
98,25-34 years old,10,NA,NA
99,35-44 years old,20,NA,NA
100,25-34 years old,12,28800,30842
101,45-54 years old,29,140000,140000
102,25-34 years old,19,62000,66396
103,18-24 years old,8,NA,NA
104,65 years or older,More than 50 years,150000,160634
105,18-24 years old,10,NA,NA
106,18-24 years old,Less than 1 year,NA,NA
107,25-34 years old,8,NA,NA
108,25-34 years old,11,92000,18665
109,25-34 years old,15,110000,117798
110,Under 18 years old,3,NA,NA
111,25-34 years old,12,145000,145000
112,25-34 years old,20,NA,NA
113,25-34 years old,12,80000,85672
114,25-34 years old,5,NA,NA
115,18-24 years old,7,NA,NA
116,18-24 years old,10,NA,NA
117,35-44 years old,12,80000,85672
118,18-24 years old,9,NA,NA
119,25-34 years old,10,150000,111167
120,25-34 years old,12,37200,39837
121,35-44 years old,22,70000,3291
122,25-34 years old,20,200990,200990
123,25-34 years old,10,NA,NA
124,65 years or older,More than 50 years,NA,NA
125,45-54 years old,38,2200,2356
126,35-44 years old,20,500000,46071
127,45-54 years old,26,90000,96381
128,25-34 years old,7,1500000,18175
129,35-44 years old,34,1000000,90613
130,35-44 years old,13,NA,NA
131,35-44 years old,14,118000,118000
132,35-44 years old,20,NA,NA
133,18-24 years old,4,NA,NA
134,25-34 years old,13,96000,102806
135,Under 18 years old,10,NA,NA
136,18-24 years old,7,NA,NA
137,18-24 years old,5,1860000,23019
138,35-44 years old,8,150000,150000
139,25-34 years old,10,NA,NA
140,35-44 years old,20,10000000,91371
141,45-54 years old,25,NA,NA
142,25-34 years old,9,36000,8613
143,18-24 years old,2,3600000000,85041
144,25-34 years old,3,NA,NA
145,25-34 years old,8,200000,47852
146,45-54 years old,35,NA,NA
147,18-24 years old,5,10000,10709
148,45-54 years old,35,100000,107090
149,25-34 years old,10,4200000,31833
150,35-44 years old,16,140000,149925
151,25-34 years old,8,110000,121238
152,25-34 years old,22,120000,128507
153,25-34 years old,21,110000,72714
154,35-44 years old,20,200000,200000
155,35-44 years old,18,65000,69608
156,25-34 years old,6,NA,NA
157,45-54 years old,Less than 1 year,NA,NA
158,65 years or older,27,NA,NA
159,35-44 years old,25,NA,NA
160,25-34 years old,13,200000,47852
161,25-34 years old,11,56000,59970
162,55-64 years old,14,NA,NA
163,25-34 years old,8,50000,53545
164,25-34 years old,14,15000,3237
165,18-24 years old,7,70000,52046
166,25-34 years old,9,39000,41765
167,25-34 years old,9,66604,71326
168,45-54 years old,38,NA,NA
169,65 years or older,45,NA,NA
170,25-34 years old,13,NA,NA
171,25-34 years old,9,58800,62969
172,Under 18 years old,4,NA,NA
173,18-24 years old,9,NA,NA
174,Under 18 years old,2,NA,NA
175,35-44 years old,16,45000,55862
176,25-34 years old,10,45000,48190
177,25-34 years old,6,NA,NA
178,35-44 years old,10,2000000,24234
179,25-34 years old,3,32600,34911
180,18-24 years old,5,NA,NA
181,18-24 years old,5,25000,26772
182,25-34 years old,10,NA,NA
183,18-24 years old,5,NA,NA
184,35-44 years old,23,NA,NA
185,25-34 years old,12,NA,NA
186,25-34 years old,9,NA,NA
187,35-44 years old,23,61000,65325
188,25-34 years old,NA,NA,NA
189,18-24 years old,6,NA,NA
190,35-44 years old,8,70000,74963
191,35-44 years old,20,3000,3213
192,18-24 years old,7,NA,NA
193,18-24 years old,5,NA,NA
194,18-24 years old,3,NA,NA
195,65 years or older,More than 50 years,250000,185879
196,45-54 years old,35,558000,51415
197,25-34 years old,10,NA,NA
198,35-44 years old,30,170000,170000
199,45-54 years old,40,960000,138033
200,35-44 years old,25,430000,5322
201,18-24 years old,10,3700,3962
202,25-34 years old,13,NA,NA
203,35-44 years old,23,110000,110000
204,45-54 years old,35,155000,155000
205,25-34 years old,15,50000,53545
206,35-44 years old,15,120000,128507
207,Under 18 years old,5,NA,NA
208,25-34 years old,2,NA,NA
209,25-34 years old,3,NA,NA
210,18-24 years old,10,3000000,36351
211,18-24 years old,10,NA,NA
212,25-34 years old,15,52000,55687
213,35-44 years old,17,NA,NA
214,35-44 years old,32,90000,96381
215,35-44 years old,24,55000,58899
216,35-44 years old,23,42000,44978
217,25-34 years old,8,70000,74963
218,35-44 years old,29,53000,56757
219,35-44 years old,20,75000,80317
220,25-34 years old,7,70000,74963
221,25-34 years old,12,NA,NA
222,18-24 years old,6,NA,NA
223,35-44 years old,20,900000,42306
224,25-34 years old,10,95000,101735
225,25-34 years old,10,57500,71379
226,18-24 years old,4,NA,NA
227,Under 18 years old,4,NA,NA
228,18-24 years old,8,20000,20000
229,25-34 years old,8,90000,99195
230,25-34 years old,12,NA,NA
231,Under 18 years old,6,NA,NA
232,18-24 years old,6,NA,NA
233,18-24 years old,3,NA,NA
234,18-24 years old,2,4800000,59403
235,25-34 years old,8,20000000,58008
236,25-34 years old,10,NA,NA
237,18-24 years old,10,NA,NA
238,55-64 years old,45,170000,170000
239,45-54 years old,24,NA,NA
240,25-34 years old,11,120000,120000
241,35-44 years old,26,80000,85672
242,Under 18 years old,8,NA,NA
243,35-44 years old,26,NA,NA
244,25-34 years old,13,130000,130000
245,25-34 years old,4,NA,NA
246,Prefer not to say,5,NA,NA
247,35-44 years old,23,NA,NA
248,25-34 years old,7,10000,10000
249,18-24 years old,6,180000,223449
250,35-44 years old,20,95000000,73104
251,25-34 years old,10,150000,30431
252,25-34 years old,8,NA,NA
253,35-44 years old,30,600000,55285
254,45-54 years old,40,NA,NA
255,25-34 years old,16,NA,NA
256,18-24 years old,4,NA,NA
257,25-34 years old,16,130000,18289
258,18-24 years old,7,15000,16063
259,25-34 years old,12,NA,NA
260,25-34 years old,17,NA,NA
261,25-34 years old,12,NA,NA
262,18-24 years old,3,NA,NA
263,45-54 years old,23,NA,NA
264,25-34 years old,8,101000,125380
265,Under 18 years old,6,NA,NA
266,45-54 years old,40,510000,46992
267,18-24 years old,3,24000000,1021
268,25-34 years old,7,NA,NA
269,35-44 years old,9,60000,64254
270,35-44 years old,23,40000,42836
271,25-34 years old,6,NA,NA
272,18-24 years old,4,420000,5089
273,45-54 years old,31,74000,79246
274,25-34 years old,11,240000,240000
275,25-34 years old,8,NA,NA
276,Under 18 years old,5,NA,NA
277,25-34 years old,15,13000,13922
278,55-64 years old,43,70000,74963
279,18-24 years old,7,NA,NA
280,18-24 years old,10,57000,61041
281,35-44 years old,17,1200000,172542
282,25-34 years old,6,NA,NA
283,18-24 years old,9,300000000,7087
284,35-44 years old,25,520000,138985
285,Under 18 years old,1,NA,NA
286,25-34 years old,13,33000,33000
287,25-34 years old,10,NA,NA
288,45-54 years old,6,NA,NA
289,55-64 years old,40,NA,NA
290,25-34 years old,7,52000,55687
291,25-34 years old,4,35000,37481
292,45-54 years old,30,150000,150000
293,25-34 years old,8,NA,NA
294,35-44 years old,18,2800000,131620
295,25-34 years old,10,4880000,60393
296,55-64 years old,40,120000,120000
297,35-44 years old,22,72000,77104
298,35-44 years old,12,1420000,130841
299,25-34 years old,5,NA,NA
300,18-24 years old,2,NA,NA
301,65 years or older,48,NA,NA
302,Under 18 years old,7,NA,NA
303,35-44 years old,31,NA,NA
304,18-24 years old,4,NA,NA
305,18-24 years old,NA,NA,NA
306,25-34 years old,13,NA,NA
307,45-54 years old,27,85000,91026
308,18-24 years old,3,NA,NA
309,Under 18 years old,3,NA,NA
310,45-54 years old,25,NA,NA
311,18-24 years old,8,NA,NA
312,25-34 years old,10,65000,69608
313,35-44 years old,28,13000,3110
314,18-24 years old,5,NA,NA
315,25-34 years old,4,300000,3635
316,35-44 years old,26,280000,280000
317,35-44 years old,25,8400,8996
318,25-34 years old,2,NA,NA
319,18-24 years old,3,NA,NA
320,25-34 years old,14,2000,2142
321,55-64 years old,33,15400,15400
322,25-34 years old,1,NA,NA
323,25-34 years old,18,70000,74963
324,45-54 years old,30,70000,74963
325,35-44 years old,10,75000,80317
326,25-34 years old,5,NA,NA
327,25-34 years old,12,NA,NA
328,25-34 years old,6,13000,238
329,35-44 years old,5,NA,NA
330,35-44 years old,20,18000,19276
331,35-44 years old,7,80000,88173
332,25-34 years old,6,55000,58899
333,25-34 years old,12,20000,21418
334,18-24 years old,8,18000,19276
335,35-44 years old,13,60000,64254
336,25-34 years old,15,NA,NA
337,25-34 years old,2,NA,NA
338,25-34 years old,4,24000,25701
339,35-44 years old,7,125000,82630
340,18-24 years old,4,NA,NA
341,35-44 years old,18,NA,NA
342,35-44 years old,25,350000,350000
343,18-24 years old,3,NA,NA
344,18-24 years old,4,NA,NA
345,18-24 years old,3,NA,NA
346,35-44 years old,38,NA,NA
347,35-44 years old,15,140000,154303
348,18-24 years old,8,NA,NA
349,45-54 years old,33,168000,168000
350,35-44 years old,30,240000,178443
351,25-34 years old,16,NA,NA
352,45-54 years old,25,2000000,24751
353,25-34 years old,10,30000,30000
354,35-44 years old,22,51000,54616
355,35-44 years old,15,NA,NA
356,25-34 years old,7,57000,70759
357,25-34 years old,17,NA,NA
358,35-44 years old,12,160000,118962
359,25-34 years old,12,65000,69608
360,35-44 years old,25,75819,81194
361,25-34 years old,12,NA,NA
362,18-24 years old,6,NA,NA
363,25-34 years old,5,12000,12851
364,25-34 years old,4,NA,NA
365,35-44 years old,14,402000,107446
366,25-34 years old,10,NA,NA
367,18-24 years old,15,NA,NA
368,18-24 years old,4,100000,3247
369,35-44 years old,16,NA,NA
370,25-34 years old,10,40579,43456
371,35-44 years old,20,NA,NA
372,35-44 years old,14,70000,74963
373,18-24 years old,11,NA,NA
374,35-44 years old,8,NA,NA
375,35-44 years old,25,65000,69608
376,25-34 years old,17,NA,NA
377,45-54 years old,41,295000,295000
378,35-44 years old,17,2500000,30292
379,18-24 years old,4,33000,35340
380,25-34 years old,6,1200000,11156
381,25-34 years old,18,2200000,26657
382,35-44 years old,27,140000,149925
383,25-34 years old,6,30000,32127
384,25-34 years old,17,305000,72975
385,35-44 years old,15,56000,69517
386,35-44 years old,22,72000,77104
387,45-54 years old,34,NA,NA
388,25-34 years old,3,NA,NA
389,25-34 years old,9,NA,NA
390,25-34 years old,3,300000,14102
391,45-54 years old,11,15000,18621
392,25-34 years old,15,65000,69608
393,35-44 years old,27,NA,NA
394,18-24 years old,7,NA,NA
395,25-34 years old,6,NA,NA
396,25-34 years old,10,48000,51403
397,25-34 years old,19,180000,180000
398,18-24 years old,6,1050000,12723
399,25-34 years old,9,35000,37481
400,25-34 years old,15,105000,115727
401,25-34 years old,20,NA,NA
402,25-34 years old,9,NA,NA
403,25-34 years old,9,NA,NA
404,25-34 years old,7,NA,NA
405,25-34 years old,5,400000,4847
406,55-64 years old,20,400000,400000
407,35-44 years old,21,60000,64254
408,18-24 years old,16,NA,NA
409,45-54 years old,34,60000,64254
410,35-44 years old,26,1500000,215677
411,55-64 years old,50,NA,NA
412,45-54 years old,33,8500,2034
413,18-24 years old,10,NA,NA
414,25-34 years old,7,NA,NA
415,35-44 years old,15,600000,86271
416,25-34 years old,9,NA,NA
417,35-44 years old,27,NA,NA
418,18-24 years old,3,NA,NA
419,25-34 years old,6,17000,18205
420,25-34 years old,10,NA,NA
421,Under 18 years old,7,NA,NA
422,18-24 years old,5,NA,NA
423,25-34 years old,10,60000,64254
424,25-34 years old,3,NA,NA
425,25-34 years old,13,57400,61469
426,Under 18 years old,3,NA,NA
427,35-44 years old,12,2000000,24234
428,18-24 years old,8,NA,NA
429,18-24 years old,1,NA,NA
430,25-34 years old,12,NA,NA
431,25-34 years old,11,4300,4605
432,18-24 years old,6,NA,NA
433,25-34 years old,14,NA,NA
434,45-54 years old,30,850000,77021
435,25-34 years old,13,1000000,90613
436,35-44 years old,24,87000,64686
437,35-44 years old,20,1200000,62246
438,18-24 years old,6,NA,NA
439,45-54 years old,32,12000,14897
440,35-44 years old,26,NA,NA
441,18-24 years old,6,NA,NA
442,25-34 years old,7,300000,14102
443,35-44 years old,14,0,NA
444,25-34 years old,15,NA,NA
445,25-34 years old,6,200000,40575
446,25-34 years old,3,NA,NA
447,18-24 years old,7,NA,NA
448,25-34 years old,5,1800000,48813
449,25-34 years old,8,56000,59970
450,35-44 years old,16,167000,167000
451,25-34 years old,15,NA,NA
452,25-34 years old,13,60000,1627
453,25-34 years old,15,30000,32127
454,Under 18 years old,4,NA,NA
455,18-24 years old,9,NA,NA
456,35-44 years old,10,NA,NA
457,35-44 years old,25,61000,65325
458,25-34 years old,4,5000000,437
459,18-24 years old,5,NA,NA
460,45-54 years old,39,19000,19000
461,25-34 years old,8,NA,NA
462,45-54 years old,25,120000,132260
463,25-34 years old,7,5000,5354
464,25-34 years old,13,5400000,65431
465,35-44 years old,15,42000,44978
466,35-44 years old,3,NA,NA
467,25-34 years old,15,540000,6543
468,25-34 years old,8,54000,57828
469,25-34 years old,5,NA,NA
470,35-44 years old,10,4100000,50740
471,Under 18 years old,3,NA,NA
472,35-44 years old,18,65000,69608
473,25-34 years old,5,NA,NA
474,35-44 years old,24,2300,2463
475,35-44 years old,22,125000,125000
476,35-44 years old,16,18000,4307
477,Under 18 years old,3,NA,NA
478,18-24 years old,9,NA,NA
479,25-34 years old,8,18000,3652
480,35-44 years old,15,175000,175000
481,35-44 years old,15,98000,104948
482,25-34 years old,15,40000,42836
483,18-24 years old,12,NA,NA
484,35-44 years old,23,42000,44978
485,18-24 years old,8,NA,NA
486,35-44 years old,20,2200,2356
487,25-34 years old,7,30000,32127
488,35-44 years old,18,NA,NA
489,25-34 years old,15,NA,NA
490,25-34 years old,3,NA,NA
491,45-54 years old,25,NA,NA
492,25-34 years old,7,1950,2088
493,25-34 years old,10,64000,68537
494,18-24 years old,3,NA,NA
495,35-44 years old,22,6200,6640
496,18-24 years old,6,4000000,269
497,55-64 years old,48,145000,155280
498,25-34 years old,13,60000,64254
499,25-34 years old,15,110000,117798
500,35-44 years old,10,80000,80000
501,18-24 years old,3,NA,NA
502,18-24 years old,6,650000,7876
503,35-44 years old,10,50000,19152
504,18-24 years old,6,NA,NA
505,25-34 years old,7,36400,38981
506,25-34 years old,9,2400000,18190
507,35-44 years old,20,NA,NA
508,25-34 years old,21,NA,NA
509,25-34 years old,10,65000,69608
510,25-34 years old,17,56000,59970
511,25-34 years old,12,NA,NA
512,45-54 years old,21,NA,NA
513,35-44 years old,12,NA,NA
514,35-44 years old,22,NA,NA
515,18-24 years old,4,3500000,5715
516,35-44 years old,14,140000,28403
517,18-24 years old,6,NA,NA
518,55-64 years old,10,NA,NA
519,18-24 years old,2,NA,NA
520,35-44 years old,20,NA,NA
521,25-34 years old,18,NA,NA
522,35-44 years old,10,NA,NA
523,25-34 years old,12,NA,NA
524,25-34 years old,4,39000,41765
525,18-24 years old,12,540000,77644
526,45-54 years old,20,NA,NA
527,25-34 years old,17,215000,215000
528,25-34 years old,10,NA,NA
529,25-34 years old,8,NA,NA
530,25-34 years old,7,200000,47852
531,Under 18 years old,2,NA,NA
532,25-34 years old,14,NA,NA
533,25-34 years old,12,NA,NA
534,25-34 years old,6,35000,37481
535,45-54 years old,25,50000,62069
536,35-44 years old,15,120000,120000
537,25-34 years old,16,140000,140000
538,25-34 years old,6,223200,53403
539,25-34 years old,7,48000,51403
540,25-34 years old,18,190000,203470
541,35-44 years old,25,NA,NA
542,25-34 years old,13,110000,117798
543,25-34 years old,4,840000000,19843
544,45-54 years old,28,130000,130000
545,25-34 years old,7,60000,64254
546,18-24 years old,7,31500,33733
547,Under 18 years old,3,NA,NA
548,25-34 years old,5,1000000,12117
549,25-34 years old,8,NA,NA
550,18-24 years old,7,NA,NA
551,35-44 years old,4,90000,90000
552,25-34 years old,16,252000,60294
553,25-34 years old,3,NA,NA
554,35-44 years old,27,90000,96381
555,35-44 years old,21,550800,50752
556,35-44 years old,21,NA,NA
557,25-34 years old,11,NA,NA
558,25-34 years old,8,165974,165974
559,Prefer not to say,27,NA,NA
560,25-34 years old,6,NA,NA
561,55-64 years old,42,33000,40966
562,35-44 years old,14,NA,NA
563,Prefer not to say,4,NA,NA
564,35-44 years old,26,192000,192000
565,35-44 years old,8,132000,6205
566,18-24 years old,8,110000,121238
567,25-34 years old,10,NA,NA
568,35-44 years old,13,100000,107090
569,25-34 years old,10,90000,90000
570,25-34 years old,18,96000,102806
571,35-44 years old,18,280000,280000
572,55-64 years old,45,NA,NA
573,Under 18 years old,2,NA,NA
574,45-54 years old,35,145000,145000
575,55-64 years old,More than 50 years,NA,NA
576,25-34 years old,15,36000,38552
577,35-44 years old,22,60000,64254
578,45-54 years old,35,NA,NA
579,18-24 years old,4,NA,NA
580,25-34 years old,10,45000,48190
581,35-44 years old,17,NA,NA
582,18-24 years old,9,NA,NA
583,18-24 years old,7,NA,NA
584,25-34 years old,10,NA,NA
585,65 years or older,40,12000,2871
586,Under 18 years old,5,NA,NA
587,18-24 years old,5,NA,NA
588,35-44 years old,11,80000,85672
589,25-34 years old,4,NA,NA
590,18-24 years old,9,NA,NA
591,18-24 years old,13,70000,70000
592,35-44 years old,22,100000,107090
593,35-44 years old,25,54000,2032
594,18-24 years old,4,NA,NA
595,35-44 years old,5,NA,NA
596,35-44 years old,22,55000,58899
597,35-44 years old,18,1200,3178
598,25-34 years old,5,42000,44978
599,25-34 years old,10,400000,36687
600,Under 18 years old,5,NA,NA
601,25-34 years old,8,NA,NA
602,18-24 years old,4,NA,NA
603,25-34 years old,13,100000,110216
604,25-34 years old,6,1400000,16964
605,35-44 years old,5,NA,NA
606,25-34 years old,8,NA,NA
607,Prefer not to say,23,NA,NA
608,25-34 years old,5,NA,NA
609,45-54 years old,25,50000,53545
610,Under 18 years old,4,NA,NA
611,18-24 years old,7,80000,59481
612,25-34 years old,10,NA,NA
613,25-34 years old,14,57600,61684
614,35-44 years old,20,NA,NA
615,25-34 years old,13,NA,NA
616,35-44 years old,25,170000,170000
617,35-44 years old,24,34500,9221
618,18-24 years old,5,NA,NA
619,35-44 years old,7,NA,NA
620,25-34 years old,15,48000,51403
621,25-34 years old,7,NA,NA
622,25-34 years old,18,2172000,26318
623,18-24 years old,5,NA,NA
624,25-34 years old,2,NA,NA
625,25-34 years old,9,55000,58899
626,25-34 years old,5,NA,NA
627,35-44 years old,10,90000,90000
628,18-24 years old,12,NA,NA
629,45-54 years old,22,150000,150000
630,25-34 years old,5,NA,NA
631,25-34 years old,12,150000,111527
632,35-44 years old,22,NA,NA
633,25-34 years old,11,52000,55687
634,25-34 years old,14,30000,32127
635,35-44 years old,23,NA,NA
636,25-34 years old,8,924000,42036
637,18-24 years old,2,NA,NA
638,45-54 years old,31,58000,72000
639,35-44 years old,16,NA,NA
640,25-34 years old,10,NA,NA
641,35-44 years old,26,65000,80690
642,35-44 years old,26,75000000,217530
643,25-34 years old,7,126000,126000
644,35-44 years old,19,90000,96381
645,25-34 years old,9,NA,NA
646,25-34 years old,7,NA,NA
647,18-24 years old,7,NA,NA
648,45-54 years old,38,NA,NA
649,Prefer not to say,4,NA,NA
650,25-34 years old,25,95000,101735
651,18-24 years old,5,NA,NA
652,45-54 years old,43,183000,183000
653,35-44 years old,19,100000,66104
654,35-44 years old,17,125000,125000
655,35-44 years old,21,85000,85000
656,35-44 years old,20,100000,107090
657,18-24 years old,12,NA,NA
658,55-64 years old,11,NA,NA
659,18-24 years old,5,360000,6397
660,35-44 years old,30,32000,34269
661,35-44 years old,33,NA,NA
662,25-34 years old,7,83000,88884
663,25-34 years old,13,70000,74963
664,35-44 years old,18,28000,29985
665,Under 18 years old,6,NA,NA
666,35-44 years old,18,4400000,119321
667,25-34 years old,11,70000,74963
668,25-34 years old,22,NA,NA
669,18-24 years old,10,300000,80184
670,35-44 years old,18,200000,200000
671,35-44 years old,15,NA,NA
672,25-34 years old,9,NA,NA
673,25-34 years old,12,NA,NA
674,25-34 years old,7,720000000,17008
675,45-54 years old,25,NA,NA
676,18-24 years old,5,NA,NA
677,25-34 years old,9,660000,176404
678,45-54 years old,29,120000,120000
679,35-44 years old,34,154000,164918
680,45-54 years old,34,NA,NA
681,25-34 years old,15,80000,52883
682,25-34 years old,5,NA,NA
683,18-24 years old,4,NA,NA
684,45-54 years old,37,2400000,29702
685,25-34 years old,16,93000,99593
686,25-34 years old,10,39000,41765
687,35-44 years old,24,42000,44978
688,45-54 years old,31,150000,186207
689,25-34 years old,5,70000,86897
690,55-64 years old,33,40000,42836
691,35-44 years old,12,125000,125000
692,25-34 years old,7,NA,NA
693,25-34 years old,10,NA,NA
694,35-44 years old,7,NA,NA
695,45-54 years old,31,NA,NA
696,25-34 years old,11,331000000,7819
697,18-24 years old,12,NA,NA
698,35-44 years old,18,60000,64254
699,25-34 years old,6,170000,170000
700,25-34 years old,21,85000,91026
701,25-34 years old,10,130000,130000
702,25-34 years old,4,600000,5578
703,35-44 years old,20,85000,63199
704,25-34 years old,10,192000,45938
705,25-34 years old,10,64000,68537
706,Under 18 years old,6,NA,NA
707,35-44 years old,24,6444000,79749
708,18-24 years old,3,NA,NA
709,25-34 years old,10,30000,32127
710,45-54 years old,30,NA,NA
711,35-44 years old,20,NA,NA
712,18-24 years old,4,NA,NA
713,35-44 years old,17,80000,990
714,Under 18 years old,4,NA,NA
715,35-44 years old,19,NA,NA
716,18-24 years old,3,NA,NA
717,25-34 years old,15,105000,112444
718,25-34 years old,1,NA,NA
719,65 years or older,39,NA,NA
720,25-34 years old,13,40000,42836
721,25-34 years old,7,38000,40694
722,25-34 years old,5,840000,2891
723,25-34 years old,3,64000,68537
724,18-24 years old,4,50000,53545
725,55-64 years old,37,NA,NA
726,18-24 years old,9,NA,NA
727,25-34 years old,5,22500,24095
728,35-44 years old,26,NA,NA
729,25-34 years old,8,NA,NA
730,35-44 years old,23,600000,27296
731,35-44 years old,27,540000,49756
732,Under 18 years old,6,NA,NA
733,25-34 years old,8,0,NA
734,45-54 years old,NA,NA,NA
735,35-44 years old,10,67000,83173
736,25-34 years old,8,500000,119631
737,25-34 years old,10,NA,NA
738,25-34 years old,10,28000,34759
739,45-54 years old,39,82000,87813
740,35-44 years old,12,NA,NA
741,35-44 years old,25,96000,102806
742,25-34 years old,7,12000,4761
743,25-34 years old,13,NA,NA
744,25-34 years old,7,42000,44978
745,25-34 years old,8,2500000,30292
746,25-34 years old,11,NA,NA
747,35-44 years old,20,80000,16230
748,35-44 years old,10,3000000000,70867
749,25-34 years old,10,62750,67199
750,35-44 years old,30,60000,64254
751,35-44 years old,18,NA,NA
752,25-34 years old,7,72000,53533
753,35-44 years old,Less than 1 year,12000,31175
754,18-24 years old,4,NA,NA
755,45-54 years old,30,NA,NA
756,25-34 years old,11,4000,4000
757,18-24 years old,4,NA,NA
758,35-44 years old,14,NA,NA
759,18-24 years old,7,40000,40000
760,45-54 years old,38,850000,77021
761,25-34 years old,16,NA,NA
762,55-64 years old,22,NA,NA
763,25-34 years old,4,NA,NA
764,55-64 years old,40,NA,NA
765,35-44 years old,18,NA,NA
766,25-34 years old,5,39000,41765
767,25-34 years old,13,NA,NA
768,35-44 years old,25,NA,NA
769,18-24 years old,5,NA,NA
770,25-34 years old,11,NA,NA
771,25-34 years old,10,9000000,9000000
772,35-44 years old,5,70000,74963
773,18-24 years old,6,NA,NA
774,25-34 years old,15,NA,NA
775,25-34 years old,4,700000,8482
776,25-34 years old,8,NA,NA
777,25-34 years old,15,180000,36518
778,55-64 years old,43,220000,58801
779,18-24 years old,4,150000,2744
780,25-34 years old,7,39000,41765
781,25-34 years old,4,NA,NA
782,18-24 years old,5,NA,NA
783,25-34 years old,10,NA,NA
784,35-44 years old,13,NA,NA
785,35-44 years old,25,70000,74963
786,Under 18 years old,2,NA,NA
787,25-34 years old,8,NA,NA
788,25-34 years old,13,NA,NA
789,18-24 years old,3,NA,NA
790,25-34 years old,17,NA,NA
791,45-54 years old,5,130000,96657
792,25-34 years old,3,NA,NA
793,35-44 years old,20,NA,NA
794,18-24 years old,3,73000,73000
795,25-34 years old,6,NA,NA
796,35-44 years old,19,NA,NA
797,25-34 years old,2,NA,NA
798,35-44 years old,35,65000,69608
799,25-34 years old,7,NA,NA
800,35-44 years old,22,NA,NA
801,25-34 years old,9,50000,50000
802,35-44 years old,10,300000,71779
803,25-34 years old,11,NA,NA
804,35-44 years old,14,NA,NA
805,35-44 years old,30,NA,NA
806,55-64 years old,35,120000,128507
807,25-34 years old,13,4000000,48468
808,25-34 years old,10,NA,NA
809,Under 18 years old,3,NA,NA
810,35-44 years old,6,NA,NA
811,45-54 years old,35,NA,NA
812,25-34 years old,6,NA,NA
813,18-24 years old,2,NA,NA
