ResponseId,Age,YearsCode,CompTotal,ConvertedCompYearly
56595,35-44 years old,24,68000,72821
56596,18-24 years old,5,NA,NA
56597,18-24 years old,9,44000,47119
56598,55-64 years old,36,260000,260000
56599,35-44 years old,20,126500,135468
56600,55-64 years old,4,NA,NA
56601,18-24 years old,5,NA,NA
56602,25-34 years old,10,NA,NA
56603,35-44 years old,21,1700000,29590
56604,25-34 years old,16,320000,320000
56605,35-44 years old,16,NA,NA
56606,55-64 years old,45,120000,148966
56607,25-34 years old,20,125000,125000
56608,25-34 years old,6,NA,NA
56609,25-34 years old,4,NA,NA
56610,25-34 years old,8,220000,220000
56611,Under 18 years old,7,NA,NA
56612,35-44 years old,26,33000,35340
56613,35-44 years old,20,1290000,127113
56614,65 years or older,40,NA,NA
56615,35-44 years old,18,53000,56757
56616,Under 18 years old,4,NA,NA
56617,Under 18 years old,4,NA,NA
56618,35-44 years old,8,200000,200000
56619,18-24 years old,4,NA,NA
56620,18-24 years old,5,NA,NA
56621,35-44 years old,25,60000,64254
56622,18-24 years old,2,NA,NA
56623,35-44 years old,23,65000,69608
56624,25-34 years old,13,NA,NA
56625,35-44 years old,23,55000,58899
56626,18-24 years old,2,NA,NA
56627,25-34 years old,13,213000,213000
56628,35-44 years old,12,4300000,53215
56629,18-24 years old,4,NA,NA
56630,25-34 years old,20,140000,140000
56631,55-64 years old,20,NA,NA
56632,35-44 years old,16,170000,93062
56633,35-44 years old,19,NA,NA
56634,45-54 years old,3,NA,NA
56635,18-24 years old,10,NA,NA
56636,35-44 years old,15,NA,NA
56637,25-34 years old,3,NA,NA
56638,Under 18 years old,8,NA,NA
56639,18-24 years old,4,NA,NA
56640,18-24 years old,4,NA,NA
56641,35-44 years old,20,NA,NA
56642,25-34 years old,9,1560000,18902
56643,55-64 years old,42,72000,77104
56644,35-44 years old,23,7000,7000
56645,Under 18 years old,5,NA,NA
56646,55-64 years old,37,NA,NA
56647,25-34 years old,5,800000,9694
56648,25-34 years old,6,62000000,14275
56649,35-44 years old,20,NA,NA
56650,18-24 years old,3,NA,NA
56651,25-34 years old,14,NA,NA
56652,25-34 years old,19,130000,130000
56653,25-34 years old,NA,NA,NA
56654,35-44 years old,15,800000,72490
56655,18-24 years old,8,104000,104000
56656,25-34 years old,6,120000,120000
56657,18-24 years old,5,3600000,43621
56658,18-24 years old,5,NA,NA
56659,25-34 years old,15,210000,210000
56660,25-34 years old,11,NA,NA
56661,18-24 years old,6,155000,155000
56662,18-24 years old,5,2,NA
56663,25-34 years old,9,NA,NA
56664,Under 18 years old,10,NA,NA
56665,35-44 years old,23,100000,107090
56666,25-34 years old,5,29760,31870
56667,25-34 years old,1,3500000,14433
56668,18-24 years old,NA,NA,NA
56669,25-34 years old,7,NA,NA
56670,25-34 years old,4,NA,NA
56671,35-44 years old,4,390000,104239
56672,55-64 years old,10,70000,70000
56673,Under 18 years old,4,NA,NA
56674,35-44 years old,20,42000,44978
56675,Under 18 years old,1,NA,NA
56676,55-64 years old,41,136000,136000
56677,18-24 years old,NA,NA,NA
56678,55-64 years old,37,60000,64254
56679,25-34 years old,16,NA,NA
56680,45-54 years old,20,NA,NA
56681,25-34 years old,12,3500000,42409
56682,45-54 years old,8,2400000,29702
56683,65 years or older,NA,NA,NA
56684,25-34 years old,6,NA,NA
56685,35-44 years old,25,176000,176000
56686,55-64 years old,45,NA,NA
56687,Under 18 years old,9,NA,NA
56688,25-34 years old,13,192000,9687
56689,35-44 years old,13,NA,NA
56690,45-54 years old,NA,NA,NA
56691,35-44 years old,23,NA,NA
56692,35-44 years old,3,NA,NA
56693,35-44 years old,16,NA,NA
56694,18-24 years old,5,NA,NA
56695,25-34 years old,7,31000,109
56696,35-44 years old,21,NA,NA
56697,45-54 years old,32,84000,89955
56698,18-24 years old,5,NA,NA
56699,25-34 years old,8,NA,NA
56700,35-44 years old,12,NA,NA
56701,Under 18 years old,6,NA,NA
56702,45-54 years old,36,NA,NA
56703,55-64 years old,44,160000,160000
56704,25-34 years old,4,57889,11744
56705,25-34 years old,5,NA,NA
56706,Under 18 years old,NA,NA,NA
56707,35-44 years old,28,900000,51524
56708,18-24 years old,8,NA,NA
56709,35-44 years old,26,50000,53545
56710,45-54 years old,36,NA,NA
56711,35-44 years old,19,110000,110000
56712,Under 18 years old,3,NA,NA
56713,35-44 years old,NA,NA,NA
56714,45-54 years old,4,NA,NA
56715,35-44 years old,15,60000,60000
56716,18-24 years old,10,NA,NA
56717,35-44 years old,22,NA,NA
56718,25-34 years old,6,85000,85000
56719,18-24 years old,8,NA,NA
56720,25-34 years old,8,384000,102635
56721,18-24 years old,4,NA,NA
56722,25-34 years old,16,NA,NA
56723,45-54 years old,NA,NA,NA
56724,25-34 years old,Less than 1 year,NA,NA
56725,25-34 years old,15,105000,115727
56726,18-24 years old,9,NA,NA
56727,45-54 years old,37,NA,NA
56728,55-64 years old,More than 50 years,NA,NA
56729,35-44 years old,19,173000,173000
56730,25-34 years old,13,240000,240000
56731,25-34 years old,13,123000,24954
56732,45-54 years old,27,116000,86248
56733,18-24 years old,Less than 1 year,NA,NA
56734,18-24 years old,6,64800,71420
56735,25-34 years old,2,29000,36000
56736,45-54 years old,27,70000,70000
56737,25-34 years old,20,NA,NA
56738,35-44 years old,25,NA,NA
56739,65 years or older,42,NA,NA
56740,18-24 years old,3,NA,NA
56741,Under 18 years old,4,NA,NA
56742,Under 18 years old,5,NA,NA
56743,25-34 years old,24,NA,NA
56744,25-34 years old,4,110000,110000
56745,35-44 years old,16,425000,425000
56746,25-34 years old,4,51000,54616
56747,25-34 years old,4,72000,77104
56748,18-24 years old,6,NA,NA
56749,25-34 years old,2,NA,NA
56750,Under 18 years old,1,NA,NA
56751,18-24 years old,10,NA,NA
56752,18-24 years old,5,4300000,290
56753,35-44 years old,26,45000,48190
56754,25-34 years old,11,NA,NA
56755,25-34 years old,13,82000,87813
56756,25-34 years old,NA,51000,54616
56757,18-24 years old,4,NA,NA
56758,25-34 years old,8,NA,NA
56759,45-54 years old,38,NA,NA
56760,25-34 years old,6,138000000,31774
56761,25-34 years old,5,NA,NA
56762,Prefer not to say,32,NA,NA
56763,25-34 years old,5,NA,NA
56764,65 years or older,NA,NA,NA
56765,25-34 years old,NA,NA,NA
56766,25-34 years old,3,170000,170000
56767,25-34 years old,NA,NA,NA
56768,25-34 years old,10,NA,NA
56769,35-44 years old,11,90000,96381
56770,25-34 years old,22,130000,96657
56771,25-34 years old,4,NA,NA
56772,45-54 years old,42,210000,210000
56773,18-24 years old,6,200000,40575
56774,18-24 years old,6,NA,NA
56775,25-34 years old,12,600000,55285
56776,Under 18 years old,6,NA,NA
56777,18-24 years old,9,NA,NA
56778,35-44 years old,12,70000,86897
56779,Prefer not to say,9,NA,NA
56780,35-44 years old,2,NA,NA
56781,35-44 years old,20,NA,NA
56782,25-34 years old,12,26226,28085
56783,18-24 years old,10,NA,NA
56784,25-34 years old,15,NA,NA
56785,25-34 years old,14,50000,53545
56786,Prefer not to say,NA,NA,NA
56787,18-24 years old,1,10000,72
56788,25-34 years old,6,NA,NA
56789,Under 18 years old,8,NA,NA
56790,25-34 years old,18,NA,NA
56791,18-24 years old,6,NA,NA
56792,18-24 years old,4,NA,NA
56793,25-34 years old,11,59000,73242
56794,18-24 years old,6,NA,NA
56795,65 years or older,50,35000,43448
56796,35-44 years old,30,NA,NA
56797,18-24 years old,5,NA,NA
56798,55-64 years old,42,220000,220000
56799,18-24 years old,10,NA,NA
56800,35-44 years old,5,NA,NA
56801,45-54 years old,NA,NA,NA
56802,45-54 years old,29,260000,52748
56803,18-24 years old,5,NA,NA
56804,35-44 years old,24,158000,158000
56805,35-44 years old,25,17295032,3508749
56806,18-24 years old,Less than 1 year,NA,NA
56807,18-24 years old,5,NA,NA
56808,18-24 years old,5,NA,NA
56809,25-34 years old,10,NA,NA
56810,18-24 years old,10,NA,NA
56811,18-24 years old,6,NA,NA
56812,18-24 years old,6,27000000,58488
56813,18-24 years old,2,NA,NA
56814,55-64 years old,44,196000,196000
56815,18-24 years old,NA,NA,NA
56816,35-44 years old,25,NA,NA
56817,25-34 years old,13,140000,149925
56818,25-34 years old,5,100000,732
56819,25-34 years old,14,42000,44978
56820,25-34 years old,10,46000,34202
56821,25-34 years old,7,100000,107090
56822,45-54 years old,37,NA,NA
56823,35-44 years old,24,155000,155000
56824,45-54 years old,37,70000,74963
56825,Under 18 years old,7,NA,NA
56826,25-34 years old,3,NA,NA
56827,25-34 years old,18,50000,53545
56828,18-24 years old,2,NA,NA
56829,18-24 years old,2,NA,NA
56830,25-34 years old,10,NA,NA
56831,Under 18 years old,3,NA,NA
56832,45-54 years old,5,175000,175000
56833,Under 18 years old,2,NA,NA
56834,Prefer not to say,45,NA,NA
56835,35-44 years old,30,NA,NA
56836,Under 18 years old,3,NA,NA
56837,35-44 years old,18,110000,5004
56838,Prefer not to say,Less than 1 year,NA,NA
56839,25-34 years old,15,NA,NA
56840,25-34 years old,9,28000,29985
56841,25-34 years old,16,64000,68537
56842,18-24 years old,4,NA,NA
56843,35-44 years old,20,110000,117798
56844,Under 18 years old,3,NA,NA
56845,Under 18 years old,4,NA,NA
56846,18-24 years old,2,NA,NA
56847,25-34 years old,14,115000,2967
56848,Under 18 years old,3,NA,NA
56849,35-44 years old,13,110000,110000
56850,25-34 years old,14,80000,85672
56851,18-24 years old,8,50000,50000
56852,18-24 years old,15,26000,32276
56853,35-44 years old,24,NA,NA
56854,18-24 years old,12,19800000000,467725
56855,18-24 years old,7,NA,NA
56856,35-44 years old,11,70000,18710
56857,35-44 years old,8,34000,36410
56858,25-34 years old,4,215000,215000
56859,35-44 years old,8,68000,72821
56860,18-24 years old,5,NA,NA
56861,18-24 years old,7,NA,NA
56862,35-44 years old,10,180000,36518
56863,Under 18 years old,7,NA,NA
56864,25-34 years old,5,40000,49655
56865,45-54 years old,35,55000,68276
56866,35-44 years old,22,150000,150000
56867,35-44 years old,4,100000,107090
56868,25-34 years old,22,225000,225000
56869,35-44 years old,1,NA,NA
56870,25-34 years old,13,121952,121952
56871,25-34 years old,15,21000000,26245
56872,18-24 years old,2,NA,NA
56873,45-54 years old,33,NA,NA
56874,25-34 years old,19,NA,NA
56875,35-44 years old,25,45000,55862
56876,45-54 years old,23,110000,60216
56877,25-34 years old,10,NA,NA
56878,18-24 years old,3,NA,NA
56879,45-54 years old,12,262000,262000
56880,25-34 years old,12,252000,60294
56881,Under 18 years old,5,NA,NA
56882,25-34 years old,4,53000,56757
56883,25-34 years old,6,700000,1564
56884,Under 18 years old,3,NA,NA
56885,18-24 years old,1,NA,NA
56886,25-34 years old,17,370000,275100
56887,35-44 years old,24,70000,70000
56888,45-54 years old,25,900,900
56889,18-24 years old,7,NA,NA
56890,35-44 years old,30,NA,NA
56891,25-34 years old,5,NA,NA
56892,35-44 years old,20,NA,NA
56893,25-34 years old,3,2340000,16861
56894,35-44 years old,28,50000,53545
56895,25-34 years old,8,NA,NA
56896,25-34 years old,11,42000,44978
56897,25-34 years old,10,6000000,72701
56898,25-34 years old,7,92000,92000
56899,18-24 years old,6,60000,60000
56900,25-34 years old,6,NA,NA
56901,25-34 years old,8,24000,24000
56902,18-24 years old,6,NA,NA
56903,45-54 years old,32,97000,97000
56904,25-34 years old,14,NA,NA
56905,25-34 years old,10,60000,66130
56906,25-34 years old,6,65000,69608
